Protein,A0,A1,A2,B0,B2,C0,C2,C3,D0,D2,D3,E0,E1,E2,F0,F1,F2
NeuroD1,750.5,198.81,2811.14,2393.12,1.07,2325.05,1682.89,1.16,444.23,0.96,1.13,1085.59,1.13,1.1,19711.62,43030.42,78205.43
Neuropilin-2,3273.5,6449.88,1.17,5062.74,1.07,3567.48,3548.86,1.16,2661.39,5053.15,1.13,6275.8,1285.93,1.1,42054.79,59917.88,97412.48
Neurturin,3898.0,7637.64,15445.04,5473.52,13557.46,2968.02,2563.41,4050.33,3039.99,2503.94,5202.74,7081.06,12313.69,3969.75,23359.56,38353.62,54622.53
NGF R,1434.75,1002.48,7034.72,2805.77,5579.62,1659.78,1016.57,1330.1,878.41,65.01,653.02,1110.75,1723.98,102.67,22594.75,38412.48,70986.45
Nidgen-1,5993.75,10141.19,5612.92,7042.28,2303.4,6502.71,6412.02,495.85,4270.61,5593.42,638.08,9146.5,6355.41,706.52,37663.72,55400.49,116519.99
NOV / CCN3,870.0,178.73,4458.35,1712.84,3072.44,1431.76,366.36,329.41,447.73,0.96,1.13,0.88,1.13,1.1,7330.7,14218.81,37421.07
NrCAM,22205.5,76880.68,142347.42,31483.59,113498.85,51133.64,45618.58,160619.76,33138.85,45298.98,117594.58,45532.08,186669.83,84737.55,65134.51,80541.22,96633.15
NRG1 Isoform GGF2,578.5,419.79,4123.0,2521.11,2996.79,4092.62,1942.37,1878.44,696.0,0.96,1.13,242.59,880.62,1.1,11433.42,17373.86,14279.47
NRG2,5881.5,11962.34,4245.8,7909.54,3212.82,6506.86,6521.08,778.58,4212.45,7401.32,2155.59,9714.02,5939.66,696.03,70532.68,61090.96,128672.19
NRG3,20817.25,35855.98,29253.68,24981.72,21520.93,18569.59,27308.98,15317.79,18180.63,33381.9,17537.4,37113.79,38323.53,21090.42,83421.41,122052.35,142699.27
NT-3,1490.75,3233.28,9753.18,2561.21,4452.83,1884.53,1361.6,1636.31,4689.15,5281.88,13310.24,571.05,6274.4,958.49,26557.74,57978.0,76752.69
NT-4,2217.0,11211.49,25426.55,2937.02,7103.58,1896.99,1232.08,2366.46,14599.72,8317.67,10399.0,747.42,11552.47,1191.42,34467.47,51524.83,78377.44
Orexin A,599.5,575.92,6796.14,950.72,3977.6,821.37,1283.01,1.16,57.46,0.96,1.13,170.63,206.32,1.1,15585.29,35196.93,57810.43
Orexin B,9207.75,15644.37,17194.29,5865.42,8521.53,6679.14,8680.69,6156.4,3194.37,9390.75,1871.09,8866.38,9679.74,1550.2,60089.33,98045.47,156065.33
OSM,7063.75,22709.88,21732.75,11712.66,18722.59,18440.16,23405.95,34043.34,13934.54,23994.04,22484.68,19401.33,25218.41,14442.24,54068.4,50149.83,134394.11
Osteoactivin / GPNMB,4129.0,16493.88,12882.71,6955.56,19818.49,11705.27,14950.34,21850.58,4243.98,18101.1,14226.62,13787.74,7849.92,7994.7,2829.33,5370.01,6764.16
Osteocrin,3024.5,6487.06,1.17,3522.89,1.07,4031.18,4796.82,1960.5,2420.83,3894.59,1.13,7119.68,2425.37,1.1,8827.81,18797.09,25150.19
Osteoprotegerin / TNFRSF11B,20938.25,62529.72,114517.87,25008.06,129099.46,23057.69,51549.08,154691.85,39596.97,62642.64,97974.06,51140.37,201450.38,82482.21,64762.56,79221.4,119363.49
OX40 Ligand / TNFSF4,5404.75,8303.56,16371.85,8923.21,13963.43,8663.14,6004.52,17535.21,5489.55,5824.8,12409.1,4887.14,11531.58,10812.77,3337.91,3274.41,7277.95
PARC / CCL18,3303.25,2504.4,8503.88,2266.53,8426.97,3257.48,2359.66,3280.17,660.97,510.42,1.13,584.07,1642.69,1.1,2235.98,3863.4,7531.09
PD-ECGF,4218.25,5181.2,18630.41,3626.17,9358.77,8731.79,2918.23,6188.3,3115.2,2108.13,1987.26,2154.84,10604.67,2234.92,1354.67,4057.55,3222.08
PDGF R alpha,3196.0,2716.09,3506.98,4656.62,2757.31,4048.45,2029.66,2117.96,3100.72,2060.94,824.17,3502.45,7347.23,1659.77,161885.49,209618.57,349926.92
PDGF R beta,5391.0,7984.12,1786.09,6811.48,1826.84,5567.44,5286.61,1.16,4311.72,12132.09,3478.55,13093.74,7234.9,2700.78,3667.67,5322.6,8647.68
PDGF-AA,2266.25,2069.82,9005.58,1522.6,2997.05,1765.6,17.2,1.16,740.15,0.96,1.13,85.65,1.13,75.34,9852.71,19238.53,56021.93
PDGF-AB,4189.0,4543.79,13787.59,3940.43,10433.08,2550.01,1451.06,2090.99,1859.59,2064.55,1781.43,3683.68,7604.64,522.99,34079.65,57898.71,90418.84
PDGF-BB,656.5,147.04,4648.69,1487.4,2779.42,2666.98,1922.12,1498.58,10.28,0.96,1.13,438.83,3040.95,1.1,32139.37,58954.48,78035.29
PDGF-C,1247.5,2621.02,1.17,2584.52,354.82,3233.65,3252.59,182.1,1431.71,1726.04,1.13,2467.19,1.13,1.1,42395.78,70070.96,99897.67
PDGF-D,603.0,157.61,3569.25,1766.22,2900.62,2174.42,1695.95,861.8,486.03,0.96,1.13,779.43,1.13,1.1,20302.26,44208.81,104115.04
PECAM-1 /CD31,2235.25,3266.24,1.17,3193.24,1.07,1289.0,1791.3,1.16,778.92,753.11,1.13,3634.01,1618.98,1.1,6384.76,12289.97,18086.32
Pentraxin3 / TSG-14,734.5,438.81,3455.82,2456.07,2088.96,2233.45,2105.85,1245.43,375.56,0.96,1.13,435.52,1.13,1.1,15149.09,34385.58,68690.92
Persephin,2566.0,4302.73,3854.02,4554.97,3454.96,4560.47,4791.82,693.9,2267.15,3318.21,586.76,4525.13,2742.33,1.1,45492.94,73378.88,86589.83
PF4 / CXCL4,8072.25,12928.48,39457.98,11735.97,20561.69,15117.54,10778.7,34310.69,10529.5,7532.78,16582.12,5702.55,28988.98,6442.57,39941.89,59215.67,89462.62
PlGF,910.75,55.99,5878.1,3446.42,9438.15,1400.72,836.33,3292.93,1234.35,785.37,1481.99,2274.26,8477.64,340.84,17276.31,32587.13,59944.46
PLUNC,3602.5,6600.51,3861.04,3449.69,2224.28,3111.87,4424.81,624.6,2995.15,4082.39,1.13,5472.98,1603.18,1.1,45903.22,56551.91,141667.18
Pref-1,6546.5,8020.46,13017.78,4570.83,9786.57,3152.76,3965.28,3420.51,2883.98,4610.39,2895.46,7534.89,8674.09,2450.74,30366.3,34262.96,72113.56
Progranulin,2086.25,3369.34,9373.39,3399.79,7343.33,3754.41,2931.08,2817.08,2444.65,2178.91,1826.54,2106.94,2238.8,1.1,15029.88,18255.1,41349.61
Prolactin,4182.75,5042.6,16252.86,4382.45,8726.91,7145.02,4610.49,5452.35,4160.14,3223.59,8134.29,5739.19,12098.05,1992.05,27523.82,32172.67,58709.56
P-selectin,1825.5,4061.46,7936.09,3034.24,5164.86,5947.41,2697.72,3697.73,1977.3,2218.64,1672.31,1966.33,4670.66,1912.02,26652.18,30840.59,86667.57
RAGE,2639.75,943.75,10475.62,2558.88,11063.87,2888.44,880.74,1317.63,1186.01,298.55,1.13,679.43,2876.12,431.64,23666.49,29831.82,81036.91
RANK / TNFRSF11A,887.0,1797.7,4365.38,3737.84,3819.37,488.4,618.87,37.7,202.49,91.01,1.13,767.73,6716.41,143.24,32395.99,60781.95,76802.65
RANTES,797.75,465.01,2807.92,848.14,302.88,1087.87,744.69,733.63,335.16,0.96,1.13,0.88,1.13,1.1,30894.62,54064.74,99057.13
RELM beta,3623.0,4208.3,5687.48,4931.72,2408.88,1985.31,1541.62,459.03,778.22,19.26,1.13,765.74,1.13,1.1,44169.24,64353.11,122821.06
RELT / TNFRSF19L,8130.0,19515.05,14096.04,10739.09,29220.67,10579.8,14971.02,42231.58,11059.44,20638.51,18317.59,30132.95,25934.76,19806.81,39313.71,56944.71,86003.55
ROBO4,1295.75,3944.42,6418.11,2825.59,6885.68,2999.5,4271.34,2750.68,1664.57,2818.38,1287.15,3598.69,505.79,1.1,19814.96,36665.53,62770.31
S100 A8/A9,13238.0,19098.22,26819.7,25168.92,35748.34,15517.4,11953.31,7676.73,10526.0,12621.56,14885.28,11266.91,44652.97,8827.07,17167.16,26886.45,23281.31
S100A10,590.25,14.79,2439.24,1592.07,623.33,1647.76,1300.86,791.04,632.94,0.96,1.13,574.58,116.85,1.1,15171.15,30431.85,58361.78
SAA,5297.5,8705.4,9808.73,7563.8,7242.9,2824.17,3366.44,891.96,5733.85,7516.4,6297.6,7431.37,12296.76,2110.73,34624.61,68470.34,50198.97
SCF,3818.5,3412.23,8506.22,2868.71,3278.88,3122.37,1713.37,1721.28,1219.41,284.1,1.13,1062.41,163.14,1.1,11661.39,30723.28,22434.76
SCF R/CD117,4359.75,4912.88,13385.58,5326.18,11261.79,2332.27,2454.79,3593.34,2850.58,2354.19,1112.34,10456.36,13498.86,1264.28,32687.43,56637.34,67499.96
SDF-1 / CXCL12,11505.5,17871.79,31684.74,6565.52,20316.88,8271.59,7542.65,8732.52,5232.4,6076.88,9421.72,6280.88,11364.49,2663.24,34681.9,64381.31,69223.49
sFRP-1,723.25,164.37,7227.97,2051.58,4116.65,1657.82,1443.66,1275.88,1113.6,0.96,1.13,122.73,1.13,1.1,11775.19,28779.73,51882.31
sFRP-3,1556.0,2460.88,2685.13,3753.69,1.07,1411.21,1076.22,1.16,1390.84,1241.62,1.13,1904.53,1.13,1.1,39643.47,41817.28,101228.72
sFRP-4,954.25,924.1,4399.29,3564.15,2866.53,3495.12,1468.7,1304.88,826.33,462.99,1.13,638.82,1132.95,1.1,16803.34,29974.47,67818.83
sgp130,6480.5,10601.34,11112.4,12198.04,20391.47,9829.05,8896.41,4723.65,6798.64,10300.11,10531.8,13850.87,24163.93,3453.94,16502.99,23139.54,26798.22
SIGIRR,18036.75,65424.33,120670.22,20339.55,94143.87,25386.68,39882.46,220250.83,21575.86,68230.04,115528.09,33689.04,115016.6,125021.27,68345.47,86223.92,138431.2
Siglec-5/CD170,1655.25,2214.54,7105.18,6128.4,7486.11,1637.48,561.84,1282.84,1048.21,984.72,1.13,532.64,5374.87,93.28,25826.22,38542.05,48691.4
Siglec-9,10435.5,14831.19,24007.68,19167.59,26070.18,6469.92,8490.87,32906.06,14311.97,11560.51,18036.47,17755.06,24250.02,20036.43,55898.75,68997.61,106637.42
SLPI,3057.0,5215.63,9178.67,12733.78,16994.31,5132.82,6870.45,3196.95,1344.36,1373.08,1349.75,4280.33,20144.7,2632.06,47374.77,58273.11,81925.53
Smad 1,757.0,0.85,1.17,1732.19,5297.25,3127.4,1629.56,329.41,315.07,0.96,1.13,62.69,1.13,1.1,14961.76,57039.95,64013.1
Smad 4,6199.25,15080.91,9527.17,6373.89,1367.87,4255.93,4769.61,2905.23,3564.56,9670.28,620.03,2360.57,3429.89,900.26,29303.85,66243.52,77129.77
Smad 5,461.75,0.85,1052.53,1385.28,3638.77,1612.78,418.6,1.16,277.0,0.96,1.13,53.64,1034.73,1.1,22880.78,61800.12,58779.42
Smad 7,1762.5,1463.68,2062.38,2774.53,1530.63,5169.33,3751.3,837.44,1845.11,459.86,1.13,3023.67,1850.99,1.1,37754.29,80213.0,78839.78
Smad 8,1149.25,1242.27,2879.55,1700.25,1751.46,3595.03,1638.92,247.64,761.63,0.96,1.13,561.78,536.84,1.1,18030.67,40696.11,54025.36
Prdx6,7036.5,12746.16,4389.35,6960.68,4252.77,3710.03,8178.28,990.26,2053.91,8501.37,2186.32,17726.59,11088.45,2443.01,40253.08,51631.92,70442.24
Soggy-1,7269.75,10449.44,11234.61,4710.94,8124.36,4816.47,5005.36,2777.36,2259.67,2190.47,2074.95,5459.07,4393.78,176.63,36526.96,58528.57,78247.12
Sonic Hedgehog (Shh N-terminal),6055.75,6421.57,14153.05,2749.58,5399.54,4126.06,1520.94,1112.04,758.83,0.96,1.13,1022.46,7133.57,2434.45,28057.17,41675.04,73932.48
SPARC,2516.75,4818.45,14510.04,6090.63,7462.4,5799.62,3480.5,8479.08,3591.19,4731.97,2605.6,2798.96,9254.11,1746.98,27574.13,41537.7,80861.51
Spinesin,3226.5,4370.13,1656.57,5487.98,1.07,3629.14,3099.34,1.16,2042.7,3444.37,1.13,5584.89,2490.85,196.5,38002.77,47914.03,86020.83
TACI / TNFRSF13B,6667.25,6870.94,24580.73,5254.84,14061.46,3773.64,1151.75,3346.86,10217.7,2520.07,4253.1,4041.27,8374.9,763.37,28603.68,45520.45,78518.66
Tarc,1738.5,2763.63,5248.92,1625.41,3429.12,2013.95,1157.41,1107.69,228.89,0.96,1.13,1796.37,662.44,188.22,13809.51,32969.3,68819.37
TCCR / WSX-1,365.5,169.23,2627.53,1472.47,1815.92,1429.57,1441.92,1471.9,267.66,0.96,1.13,0.88,33.31,1.1,6684.33,19315.37,42768.92
TECK/ CCL25,561.0,0.85,779.17,2068.37,2164.61,283.99,0.87,1.16,0.93,0.96,1.13,61.59,1835.19,1.1,7263.36,29757.43,44774.13
TFPI,463.25,16.06,1922.04,1880.93,4579.36,424.35,341.54,1.16,119.35,0.96,1.13,553.61,2827.57,1.1,13021.87,34235.17,52616.57
TGF-alpha,518.0,136.69,2056.24,1733.59,1494.4,1692.58,1933.88,775.97,310.17,0.96,1.13,130.24,1.13,1.1,4650.78,15145.01,26182.28
TGF-beta 1,11532.75,22785.31,6847.02,13472.12,8567.08,10916.05,14841.07,5332.88,9982.51,15815.77,5302.84,24671.01,13907.84,4307.28,29718.77,44443.02,44624.65
TGF-beta 2,1257.0,490.99,2244.53,2060.44,3039.94,614.11,0.87,1.16,387.47,0.96,1.13,21.41,1726.24,1.1,2940.8,11249.73,13638.73
TGF-beta 3,1071.5,294.3,1.17,1466.88,1.07,897.88,935.16,1.16,797.6,0.96,1.13,0.88,606.27,1.1,3305.4,16458.29,10472.99
TGF-beta 5,4626.0,7227.56,40061.43,5282.82,31209.74,11463.7,3763.05,18903.3,3651.45,3788.18,12371.88,20385.82,13157.62,13473.54,13626.05,20198.66,15049.78
TGF-beta RI / ALK-5,239.0,0.85,2655.01,2168.15,2984.27,363.13,0.87,1.16,0.93,0.96,1.13,0.88,1305.97,1.1,5417.91,14883.82,124235.86
TGF-beta RII,1131.25,471.13,1791.35,2971.99,2488.8,2912.49,835.03,1.16,777.05,0.96,1.13,182.11,1539.95,1.1,8782.91,17888.06,21312.54
Grb2,917.0,844.87,3511.37,2968.73,3173.4,1221.88,918.61,1.16,919.05,0.96,1.13,76.15,1130.97,1.1,32259.74,46308.09,52703.32
TGF-beta RIII,553.0,346.06,3225.72,2225.03,2646.23,2179.01,481.08,922.11,596.51,0.96,1.13,117.87,1296.09,1.1,6792.71,14971.7,28607.01
Thrombopoietin (TPO),1114.0,2483.91,3327.76,4568.73,4998.64,1356.99,9.14,1.16,1158.45,202.24,1.13,1600.35,5773.97,1.1,8364.9,20826.89,14100.69
TPX,2582.75,3833.5,6429.22,7501.32,6903.53,2140.75,2865.12,1.16,1439.18,1870.49,1.13,3929.14,7916.81,547.0,15233.08,22266.06,39783.45
Thrombospondin-1,3025.75,15777.26,12467.83,1039.31,5799.38,1316.11,5507.33,6279.93,1325.68,8341.02,3730.62,8367.08,2062.4,2356.07,42604.79,214777.67,104919.15
Thrombospondin-2,445.75,560.71,2625.19,2005.19,2840.69,744.85,415.99,605.75,0.93,0.96,1.13,839.25,1457.25,1.1,25794.87,37751.55,54463.28
Thrombospondin-4,408.25,1442.55,2172.31,2459.33,3442.44,220.59,0.87,1.16,0.93,0.96,1.13,0.88,3992.42,1.1,5759.29,14586.26,27196.34
Thymopoietin,3050.0,1347.91,8958.22,5473.99,12128.6,2723.38,0.87,701.73,763.97,0.96,1.13,1508.08,17959.53,413.7,10368.65,23502.09,32417.62
Tie-1,1119.25,778.95,1.17,1979.08,1.07,977.68,1020.49,1.16,874.21,206.82,1.13,763.09,1283.67,1.1,3093.29,10106.07,14277.96
Tie-2,703.25,559.44,2917.56,2652.6,3712.29,1315.02,740.77,818.88,265.32,0.96,1.13,0.88,2271.82,1.1,17204.32,38134.54,35279.52
TIMP-1,6048.0,6566.71,9068.74,2195.19,5398.48,2344.29,1860.09,222.99,885.65,0.96,1.13,788.26,2569.88,1.1,6756.71,23990.94,65069.22
TIMP-2,97.5,0.85,1319.17,2325.51,4544.46,1206.58,717.48,1.16,198.06,0.96,1.13,0.88,2157.8,1.1,6488.87,16860.9,5674.6
TIMP-3,2244.0,3046.1,3004.98,2698.06,2221.35,3090.89,1736.23,258.66,1328.95,1298.92,1.13,13501.22,18780.31,3418.89,14368.03,31302.06,37657.3
TIMP-4,812.25,1103.04,5094.55,2795.98,1334.84,2123.48,1206.61,67.85,531.58,56.34,1.13,399.32,1091.74,1.1,12803.57,29254.68,40192.08
TL1A / TNFSF15,1966.25,2776.52,5338.09,3135.65,4470.41,637.94,188.29,1.16,284.01,0.96,1.13,0.88,1997.48,1.1,12878.66,28331.34,20057.73
TLR1,1.0,181.27,2230.49,2343.93,2247.99,942.48,102.09,1.16,76.14,0.96,1.13,0.88,643.25,1.1,11875.82,25020.55,34217.76
TLR2,187.0,0.85,2268.79,2743.99,3033.01,998.23,0.87,1.16,252.48,0.96,1.13,0.88,361.84,1.1,7254.46,15240.65,32040.54
TLR3,227.75,0.85,1220.35,1765.06,1041.02,1454.71,631.28,1.16,1212.63,0.96,1.13,0.88,59.84,1.1,6973.85,15273.76,43289.09
TLR4,1286.0,1805.31,8026.73,2457.47,3237.33,2416.65,1995.05,1.16,1030.93,86.19,1.13,694.66,1554.06,1.1,5175.23,14992.55,36834.41
TMEFF1 / Tomoregulin-1,1350.5,2708.28,7078.28,2390.79,5944.29,2244.6,1718.59,1841.32,1355.8,183.94,1.13,1194.85,1803.86,689.13,42429.84,59058.71,58582.99
TMEFF2,1767.75,5549.02,6269.0,2813.7,3137.44,2488.58,5397.19,3881.57,596.27,4557.42,428.3,986.26,1984.5,465.86,7003.26,28140.46,36936.19
TNF-alpha,11096.0,29413.92,10974.41,15304.79,7469.59,13683.37,21199.1,6424.05,13431.92,26337.63,10353.6,23305.08,17724.98,7260.86,62838.92,82137.75,90745.59
TNF-beta,9611.25,22081.14,9479.52,12149.08,4100.67,8694.62,14927.92,10880.34,9882.54,18540.74,9787.42,16998.37,15750.08,8588.07,52708.69,76013.21,80420.96
TNF RI / TNFRSF1A,393.25,1110.23,684.44,2646.07,3063.38,252.29,45.93,1.16,482.53,0.96,1.13,72.4,3403.64,1.1,7202.59,20586.96,24898.55
TNF RII / TNFRSF1B,10429.0,13781.38,28060.22,7173.07,26691.92,8623.57,9980.47,43671.58,9925.98,9871.31,14443.73,16647.18,12719.57,19079.87,64981.63,87485.69,152886.81
TRADD,7926.0,14605.76,29265.37,13670.52,31306.17,12207.01,9516.37,30643.7,11468.87,13903.87,19676.92,21085.34,20271.15,18344.38,17653.68,33598.35,30717.38
TRAIL / TNFSF10,4216.25,5520.07,3148.53,4246.77,3905.95,1325.29,2114.12,1.16,1374.96,873.49,1.13,2232.99,2568.47,1.1,5614.92,10798.07,13382.59
TRAIL R1 / DR4 / TNFRSF10A,1799.5,1582.42,7451.93,6666.7,8771.93,2114.3,1884.25,1758.68,1182.74,617.8,1.13,1258.21,4539.7,315.17,8413.28,22190.44,25205.77
TRAIL R2/ DR5 / TNFRSF10B,1951.0,1858.33,4737.27,3451.78,3813.25,1894.15,1156.76,425.1,1221.98,821.49,1.13,2038.52,2254.89,39.19,4024.15,13135.65,26844.8
TRAIL R3 / TNFRSF10C,1224.5,768.18,4119.5,4679.0,4786.87,1625.9,901.2,1.16,1478.89,658.01,382.62,946.08,8165.76,223.55,4099.62,14862.57,21488.31
TRAIL R4 / TNFRSF10D,230.5,0.85,3010.83,1763.89,2997.32,310.44,0.87,1.16,0.93,0.96,1.13,100.44,883.44,1.1,6626.28,18739.46,31005.82
TRANCE,1592.75,3169.48,9207.32,4219.96,6265.82,2086.75,1186.8,2394.88,1536.81,1457.58,1.13,13816.21,21646.83,6711.1,19007.97,26517.77,23425.91
TREM-1,1339.75,741.56,717.48,3358.53,222.96,1602.07,0.87,1.16,557.04,0.96,1.13,120.96,1.13,1.1,4125.55,8339.91,21960.78
TROY / TNFRSF19,733.75,367.82,3480.67,2330.41,3585.22,1611.47,1235.34,1.16,788.26,0.96,1.13,457.81,326.28,1.1,5026.99,11742.26,31486.94
TSG-6,858.0,925.79,239.16,2238.32,1560.73,757.75,287.77,1.16,0.93,0.96,1.13,504.61,592.72,1.1,3034.08,13585.67,20630.49
TSLP R,362.75,626.21,1403.38,1076.61,2994.39,483.16,71.83,1098.13,101.83,649.82,1.13,0.88,393.46,190.98,4163.1,13806.39,19192.4
TWEAK / TNFSF12,193.0,0.85,3190.34,1340.52,3825.5,314.38,633.45,585.16,0.93,0.96,1.13,0.88,777.31,1.1,4913.97,16267.0,21807.55
TWEAK R / TNFRSF12,214.75,0.85,429.2,734.14,218.97,1139.02,1132.81,391.75,59.79,0.96,1.13,118.32,59.27,1.1,6342.18,22788.43,27557.64
Ubiquitin+1,18977.5,121870.94,86908.48,23970.38,35230.5,39913.49,60152.72,109816.02,12498.63,148402.45,11220.35,19036.01,86134.59,20047.47,5526.28,64872.21,67306.54
uPA,1277.0,4004.0,5548.02,2800.87,8649.39,2110.15,2674.21,10600.23,2742.67,1812.95,2092.43,4090.5,4304.58,7763.7,69615.76,91723.91,101068.72
uPAR,584.5,374.37,4538.75,1671.34,4195.77,792.29,640.42,732.18,387.47,0.96,1.13,865.07,4613.08,1678.53,9083.65,31253.01,17987.92
Vasorin,2328.0,3993.65,1.17,2327.38,1.07,1766.25,2018.99,1.16,1379.86,1759.5,1.13,2857.23,1.13,1.1,12061.99,29551.84,68663.12
VCAM-1 (CD106),998.5,1405.16,1.17,3456.68,1808.99,563.61,13.93,1.16,368.09,0.96,1.13,650.51,3439.21,1.1,8463.21,23630.84,21409.81
VE-Cadherin,1790.5,1804.88,8122.33,2081.19,5348.93,16656.86,19335.31,9865.15,1106.6,332.01,1.13,734.4,568.73,1.1,10719.7,24772.45,36023.92
VEGF,1974.5,3046.94,2167.63,1727.99,964.83,1390.88,1886.43,1.16,1044.94,700.14,1.13,4064.45,4554.66,27.05,36521.93,45505.74,35650.59
VEGF R2(KDR),906.5,1157.55,1270.35,1688.82,1305.27,1229.97,0.87,1.16,1116.87,441.56,1.13,299.98,1.13,26.22,4128.26,10934.18,19933.41
VEGF R3,14621.0,18475.81,26791.63,2917.44,3460.82,2538.65,1308.26,169.92,974.87,143.25,1.13,1075.21,1317.54,1.1,4815.66,10987.32,27789.75
VEGF-B,144.75,0.85,2904.11,1584.38,3888.1,707.46,25.47,1.16,0.93,0.96,1.13,0.88,295.52,1.1,6589.89,13002.81,25674.12
VEGF-C,1260.75,1055.51,8760.29,4932.88,11723.16,1811.94,1386.19,1936.73,1730.2,301.92,1.13,1581.37,5651.76,991.33,5396.62,11492.52,21701.63
VEGF-D,600.25,296.2,4003.72,2525.54,5863.31,496.71,0.87,401.61,0.93,0.96,1.13,98.01,3066.36,1.1,4307.47,23844.2,24622.88
VEGI / TNFSF15,1.0,0.85,2904.7,1032.08,4038.87,446.43,0.87,1.16,0.93,0.96,1.13,0.88,1.13,1.1,3345.26,11158.17,15820.46
WIF-1,200.75,0.85,2832.19,1334.93,4578.82,0.87,0.87,1.16,0.93,0.96,1.13,0.88,1.13,1.1,2486.79,9038.45,15938.02
WISP-1 / CCN4,199.5,143.45,1794.28,980.56,1612.4,1108.42,1184.84,584.29,160.92,197.43,1.13,338.61,997.75,1.1,5301.79,18562.48,41242.94
XEDAR,493.75,43.31,1329.41,975.43,1742.13,451.24,446.68,320.71,0.93,0.96,1.13,132.88,1.13,1.1,14430.73,75893.45,31148.92
